description,price,condo_fee,bedrooms,bathrooms,total_area_m2,vacancies,address,link
Apartamento 2 quartos na Praça do Patriarca. O menor preço do condomínio.,270000,550,2,1,60,1,"Rua Agostinho Barbalho, Madureira",/imovel/venda-apartamento-2-quartos-madureira-zona-norte-rio-de-janeiro-rj-60m2-id-2641169454/
Apartamento para venda tem 68 metros quadrados com 3 quartos em Del Castilho - Rio de Janeiro - RJ,375000,,3,2,68,1,"Rua Degas, Del Castilho",/imovel/venda-apartamento-3-quartos-del-castilho-zona-norte-rio-de-janeiro-rj-68m2-id-2641166127/
Casa em Rua General Roberto de Oliveira - Bangu - Rio de Janeiro/RJ,249760,1,2,3,300,4,"Rua General Roberto de Oliveira, Bangu",/imovel/venda-casa-2-quartos-com-ar-condicionado-bangu-zona-oeste-rio-de-janeiro-rj-300m2-id-2641270306/
Campo Grande Rua Itaunas Casa 2qtos Ac Carta (Imóvel Retomado Caixa),106719,,2,1,40,1,"Rua Itaunas, Campo Grande",/imovel/venda-casa-de-condominio-2-quartos-campo-grande-zona-oeste-rio-de-janeiro-rj-40m2-id-2641394366/
Taquara - Estrada do Cafunda Apt 2qtos Ac Carta (Imóvel Retomado Caixa),155040,,2,1,56,1,"Estrada do Cafundá, Taquara",/imovel/venda-apartamento-2-quartos-taquara-zona-oeste-rio-de-janeiro-rj-56m2-id-2641415320/
"Madureira/Turiaçu apartamento com ótimo acabamento, quitado com 2 Qtos",80000,480,2,1,55,1,"Rua Ibia, Turiaçu",/imovel/venda-apartamento-2-quartos-turiacu-zona-norte-rio-de-janeiro-rj-55m2-id-2641163883/
Apartamento em Rua Flávio José da Costa - Pitangueiras - Rio de Janeiro/RJ,319470,500,3,2,61,0,"Rua Flávio José da Costa, Pitangueiras",/imovel/venda-apartamento-3-quartos-pitangueiras-ilha-do-governador-rio-de-janeiro-rj-61m2-id-2641385101/
Casa em Rua Marina - Bento Ribeiro - Rio de Janeiro/RJ,379710,1,6,3,320,4,"Rua Marina, Bento Ribeiro",/imovel/venda-casa-6-quartos-com-deposito-privativo-bento-ribeiro-zona-norte-rio-de-janeiro-rj-320m2-id-2641385795/
Apartamento para venda tem 75 metros quadrados com 2 quartos em Maracanã - Rio de Janeiro - RJ,200000,840,2,2,75,1,"Rua São Francisco Xavier, Maracanã",/imovel/venda-apartamento-2-quartos-com-piscina-maracana-zona-norte-rio-de-janeiro-rj-75m2-id-2641085154/
Taquara - Rua Opinião Liberal Casa 2qtos Ac Carta (Imóvel Retomado Caixa),136333,,2,1,52,1,"Rua Opinião Liberal, Taquara",/imovel/venda-casa-2-quartos-taquara-zona-oeste-rio-de-janeiro-rj-52m2-id-2641417345/
"Estou a VENDA, me compra! Casa em terreno 240 m² na Penha Circular - Rio de Janeiro - RJ",280000,0,2,2,240,6,"Rua Crato, Penha Circular",/imovel/venda-casa-2-quartos-penha-circular-zona-norte-rio-de-janeiro-rj-240m2-id-2641432172/
Apartamento em Avenida São Josemaria Escrivá - Itanhangá - Rio de Janeiro/RJ,219690,300,2,1,60,1,"Avenida São Josemaria Escrivá, Itanhangá",/imovel/venda-apartamento-2-quartos-com-piscina-itanhanga-zona-oeste-rio-de-janeiro-rj-60m2-id-2641385467/
Cosmos - Rua Jose da Conceição Costa Casa 2qtos Ac Carta (Imóvel Caixa,96614,,2,1,56,0,"Rua José da Conceição Santos, Cosmos",/imovel/venda-casa-2-quartos-cosmos-zona-oeste-rio-de-janeiro-rj-56m2-id-2641395964/
Apartamento em Rua Castilho Daltro - Penha Circular - Rio de Janeiro/RJ,228720,300,3,1,79,1,"Rua Castilho Daltro, Penha Circular",/imovel/venda-apartamento-3-quartos-com-ar-condicionado-penha-circular-zona-norte-rio-de-janeiro-rj-79m2-id-2627900677/
RIO DE JANEIRO - Casa Padrão - CURICICA,479000,1,3,4,152,2,"Rua da Adoração, Curicica",/imovel/venda-sobrados-3-quartos-com-interfone-curicica-zona-oeste-rio-de-janeiro-rj-152m2-id-2640260831/
Apartamento para venda com 160 metros quadrados com 3 quartos em Copacabana - Rio de Janeiro - RJ,1540000,1810,3,2,160,1,"Rua Barata Ribeiro, Copacabana",/imovel/venda-apartamento-3-quartos-com-acesso-24-horas-copacabana-zona-sul-rio-de-janeiro-rj-160m2-id-2641140118/
Condominio Mediterrâneo,1650000,1900,3,3,120,2,"Avenida Gastão Senges, Barra da Tijuca",/imovel/venda-apartamento-3-quartos-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-120m2-id-2641088865/
Vende-se maravilhoso conjugado em Copacabana - Rio de Janeiro - RJ,450000,500,1,1,26,0,"Rua Santa Clara, Copacabana",/imovel/venda-apartamento-1-quarto-copacabana-zona-sul-rio-de-janeiro-rj-26m2-id-2640837232/
Shopping da Gávea 74m²,1700000,4700,0,0,74,0,"Rua Marquês de São Vicente, Gávea",/imovel/venda-loja-salao-com-elevador-gavea-zona-sul-rio-de-janeiro-rj-74m2-id-2629358955/
Apartamento em Rua Florianópolis - Praça Seca - Rio de Janeiro/RJ,232640,890,2,3,99,1,"Rua Florianópolis, Praça Seca",/imovel/venda-apartamento-2-quartos-com-playground-praca-seca-zona-oeste-rio-de-janeiro-rj-99m2-id-2628469255/
Apartamento em Avenida Paulo de Frontin - Praça da Bandeira - Rio de Janeiro/RJ,258330,800,2,2,70,0,"Avenida Paulo de Frontin, Praça da Bandeira",/imovel/venda-apartamento-2-quartos-com-salao-de-festas-praca-da-bandeira-zona-norte-rio-de-janeiro-rj-70m2-id-2641268700/
Apartamento em Rua Florianópolis - Praça Seca - Rio de Janeiro/RJ,247490,450,2,2,65,1,"Rua Florianópolis, Praça Seca",/imovel/venda-apartamento-2-quartos-com-piscina-praca-seca-zona-oeste-rio-de-janeiro-rj-65m2-id-2619842243/
CENTRO FREGUESIA APTO REFORMADO 3 QTS LAZER DOC OK,264000,0,3,1,65,1,"Estrada de Jacarepaguá, Freguesia- Jacarepaguá",/imovel/venda-apartamento-3-quartos-com-churrasqueira-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-65m2-id-2641191287/
Cobertura-À VENDA-São Conrado-Rio de Janeiro-RJ,1490000,2000,2,2,164,2,"Avenida Niemeyer, São Conrado",/imovel/venda-cobertura-2-quartos-mobiliado-sao-conrado-zona-sul-rio-de-janeiro-rj-164m2-id-2638646259/
Apartamento a venda em Rio de Janeiro,293000,670,2,1,60,1,"Rua Coronel Vercessi, Anil",/imovel/venda-apartamento-2-quartos-com-piscina-anil-zona-oeste-rio-de-janeiro-rj-60m2-id-2634443017/
Apartamento em Estrada Rodrigues Caldas - Taquara - Rio de Janeiro/RJ,188220,456,2,1,60,1,"Estrada Rodrigues Caldas, Taquara",/imovel/venda-apartamento-2-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-60m2-id-2641262087/
Apartamento em Estrada de Jacarepaguá - Freguesia (Jacarepaguá) - Rio de Janeiro/RJ,228280,395,2,1,48,1,"Estrada de Jacarepaguá, Freguesia- Jacarepaguá",/imovel/venda-apartamento-2-quartos-com-churrasqueira-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-48m2-id-2641270310/
Apartamento em Avenida Tim Maia - Recreio dos Bandeirantes - Rio de Janeiro/RJ,899570,1500,4,4,122,2,"Avenida Tim Maia, Recreio Dos Bandeirantes",/imovel/venda-apartamento-4-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-122m2-id-2628466385/
Apartamento com 1 Quarto para venda em Ipanema Gomes Carneiro 50M²,890000,771,1,1,50,1,"Rua Gomes Carneiro, Ipanema",/imovel/venda-apartamento-1-quarto-com-piscina-ipanema-zona-sul-rio-de-janeiro-rj-50m2-id-2641197941/
Casa de condomínio em Rua Frei Bento - Oswaldo Cruz - Rio de Janeiro/RJ,219060,1,2,2,120,0,"Rua Frei Bento, Oswaldo Cruz",/imovel/venda-casa-de-condominio-2-quartos-oswaldo-cruz-zona-norte-rio-de-janeiro-rj-120m2-id-2595352471/
Sala-À VENDA-Centro-Rio de Janeiro-RJ,150000,449,0,1,47,0,"Avenida Marechal Floriano, Centro",/imovel/venda-conjunto-comercial-sala-centro-zona-central-rio-de-janeiro-rj-47m2-id-2586645606/
Apartamento em Estrada de Jacarepaguá - Freguesia (Jacarepaguá) - Rio de Janeiro/RJ,234870,350,2,1,52,1,"Estrada de Jacarepaguá, Freguesia- Jacarepaguá",/imovel/venda-apartamento-2-quartos-com-churrasqueira-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-52m2-id-2641263676/
NAU DA BARRA SOL MANHÃ,670000,1200,2,3,79,1,"Rua Vilhena de Morais, Barra da Tijuca",/imovel/venda-apartamento-2-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-79m2-id-2641142495/
Apartamento em Rua Oswaldo Lussac - Taquara - Rio de Janeiro/RJ,234380,780,2,1,55,1,"Rua Oswaldo Lussac, Taquara",/imovel/venda-apartamento-2-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-55m2-id-2639919609/
Apartamento em Estrada do Tindiba - Taquara - Rio de Janeiro/RJ,436220,760,2,3,77,1,"Estrada do Tindiba, Taquara",/imovel/venda-apartamento-2-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-77m2-id-2620408735/
Apartamento BARRA BALI para venda tem 72 metros quadrados com 2 quartos,530000,1356,2,2,72,2,"Rua Marlo da Costa e Souza, Barra da Tijuca",/imovel/venda-apartamento-2-quartos-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-72m2-id-2640852162/
"Vendo apartamento na Rua Garibaldi, Condomínio Parque da Tijuca, no bairro da Tijuca.",700000,2000,3,3,98,2,"Rua Garibaldi, Tijuca",/imovel/venda-apartamento-3-quartos-com-piscina-tijuca-zona-norte-rio-de-janeiro-rj-98m2-id-2640654679/
Apartamento em Avenida Geremário Dantas - Tanque - Rio de Janeiro/RJ,259150,780,2,2,60,1,"Avenida Geremário Dantas, Tanque",/imovel/venda-apartamento-2-quartos-com-churrasqueira-tanque-zona-oeste-rio-de-janeiro-rj-60m2-id-2620413118/
Casa de condomínio em Avenida de Santa Cruz - Senador Vasconcelos - Rio de Janeiro/RJ,284210,466,2,2,133,2,"Avenida de Santa Cruz, Senador Vasconcelos",/imovel/venda-casa-de-condominio-2-quartos-com-piscina-senador-vasconcelos-zona-oeste-rio-de-janeiro-rj-133m2-id-2622479139/
Casa em Rua Enes de Sousa - Tijuca - Rio de Janeiro/RJ,898200,1,3,5,375,0,"Rua Enes de Sousa, Tijuca",/imovel/venda-casa-3-quartos-com-ar-condicionado-tijuca-zona-norte-rio-de-janeiro-rj-375m2-id-2641259433/
"Leme- Rua General Ribeiro da Costa- Sala e quarto amplo, junto a Praia. Excelente oportunidade.",430000,780,1,1,45,0,"Rua General Ribeiro da Costa, Leme",/imovel/venda-apartamento-1-quarto-com-cozinha-leme-zona-sul-rio-de-janeiro-rj-45m2-id-2641437131/
Apartamento a venda em Rio de Janeiro,349000,600,2,1,56,1,"Estrada do Engenho D'Agua, Anil",/imovel/venda-apartamento-2-quartos-com-piscina-anil-zona-oeste-rio-de-janeiro-rj-56m2-id-2634452466/
Casa de Vila em Rua Barros Alarção - Pedra de Guaratiba - Rio de Janeiro/RJ,209150,1,3,2,120,1,"Rua Barros Alarção,  Pedra de Guaratiba",/imovel/venda-casa-de-condominio-3-quartos-pedra-de-guaratiba-zona-oeste-rio-de-janeiro-rj-120m2-id-2619656898/
Casa de condomínio em Rua Bela Floresta - Vargem Pequena - Rio de Janeiro/RJ,1799740,1542,7,7,240,3,"Rua Bela Floresta, Vargem Pequena",/imovel/venda-casa-de-condominio-7-quartos-com-piscina-vargem-pequena-zona-oeste-rio-de-janeiro-rj-240m2-id-2641384665/
ÓTIMA SALA COM 21M2 NO MELHOR PONTO DO PECHINCHA!,74900,350,0,0,21,0,"Avenida Geremário Dantas, Pechincha",/imovel/venda-conjunto-comercial-sala-pechincha-zona-oeste-rio-de-janeiro-rj-21m2-id-2615045608/
Apartamento em Avenida Cesário de Melo - Inhoaíba - Rio de Janeiro/RJ,99510,265,2,1,45,1,"Avenida Cesário de Melo, Inhoaíba",/imovel/venda-apartamento-2-quartos-com-churrasqueira-inhoaiba-zona-oeste-rio-de-janeiro-rj-45m2-id-2625733069/
Apartamento em Rua Comandante Rúbens Silva - Freguesia (Jacarepaguá) - Rio de Janeiro/RJ,549570,924,3,2,90,1,"Rua Comandante Rúbens Silva, Freguesia- Jacarepaguá",/imovel/venda-apartamento-3-quartos-com-piscina-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-90m2-id-2641269803/
Cobertura duplex na Taquara de 130m2,600000,1000,2,2,130,2,"Avenida dos Mananciais, Taquara",/imovel/venda-apartamento-2-quartos-com-acesso-24-horas-taquara-zona-oeste-rio-de-janeiro-rj-130m2-id-2641424864/
"Apartamento para Venda em Rio de Janeiro, Anil - Jacarepaguá, 2 dormitórios, 1 suíte, 2 banheiros, 1",380000,550,2,2,60,1,"Estrada do Engenho D'Agua, Anil",/imovel/venda-apartamento-2-quartos-com-piscina-anil-zona-oeste-rio-de-janeiro-rj-60m2-id-2639664115/
Apartamento em Rua Apiacás - Taquara - Rio de Janeiro/RJ,319690,850,2,2,73,1,"Rua Apiacás, Taquara",/imovel/venda-apartamento-2-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-73m2-id-2633708359/
Apartamento em Rua Brás Cubas - Pavuna - Rio de Janeiro/RJ,159890,350,3,1,55,1,"Rua Brás Cubas, Pavuna",/imovel/venda-apartamento-3-quartos-com-piscina-pavuna-zona-norte-rio-de-janeiro-rj-55m2-id-2629071148/
Casa de condomínio em Avenida Tenente-Coronel Muniz de Aragão - Anil - Rio de Janeiro/RJ,1094460,550,4,4,350,3,"Avenida Tenente-Coronel Muniz de Aragão, Anil",/imovel/venda-casa-de-condominio-4-quartos-com-piscina-anil-zona-oeste-rio-de-janeiro-rj-350m2-id-2641270072/
Casa a venda em Rio de Janeiro,900000,450,3,1,260,4,"Rua Domingos Paschoal Cegalla, Pechincha",/imovel/venda-casa-de-condominio-3-quartos-com-churrasqueira-pechincha-zona-oeste-rio-de-janeiro-rj-260m2-id-2634446972/
"Oportunidade Pechincha - apto 3 quartos, com vaga de garagem, piscina, salao de festa !!",257000,620,3,1,61,1,"Estrada Pau-ferro, Pechincha",/imovel/venda-apartamento-3-quartos-com-piscina-pechincha-zona-oeste-rio-de-janeiro-rj-61m2-id-2618646898/
Apartamento para venda com 45 metros quadrados com 1 quarto em Flamengo - Rio de Janeiro - RJ,539000,390,1,1,45,0,"Praia do Flamengo, Flamengo",/imovel/venda-apartamento-1-quarto-com-elevador-flamengo-zona-sul-rio-de-janeiro-rj-45m2-id-2638523924/
Apartamento-À VENDA-Tomás Coelho-Rio de Janeiro-RJ,170000,220,2,1,55,1,"Avenida Pastor Martin Luther King Jr, Tomás Coelho",/imovel/venda-apartamento-2-quartos-com-churrasqueira-tomas-coelho-zona-norte-rio-de-janeiro-rj-55m2-id-2573819205/
Apartamento para venda com 92 metros quadrados com 2 quartos em Botafogo - Rio de Janeiro - RJ,1200000,1300,2,2,92,1,"Rua Assunção, Botafogo",/imovel/venda-apartamento-2-quartos-com-piscina-botafogo-zona-sul-rio-de-janeiro-rj-92m2-id-2641169513/
Apartamento Reformado 62m2 com 2 quartos em Vila Isabel - Rio de Janeiro - RJ,348000,200,2,2,62,0,"Rua Padre Francisco Lanna, Vila Isabel",/imovel/venda-apartamento-2-quartos-vila-isabel-zona-norte-rio-de-janeiro-rj-62m2-id-2640895459/
Apartamento para venda tem 65 metros quadrados com 2 quartos em Taquara - Rio de Janeiro - RJ,330000,580,2,2,65,1,"Estrada Meringuava, Taquara",/imovel/venda-apartamento-2-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-65m2-id-2634929321/
Apartamento em Estrada Benvindo de Novaes - Recreio dos Bandeirantes - Rio de Janeiro/RJ,849630,480,3,3,101,2,"Estrada Benvindo de Novaes, Recreio Dos Bandeirantes",/imovel/venda-apartamento-3-quartos-com-salao-de-festas-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-101m2-id-2623131324/
Sala comercial em Avenida Padre Roser - Vila da Penha - Rio de Janeiro/RJ,159160,600,0,1,25,1,"Avenida Padre Roser, Vila da Penha",/imovel/venda-conjunto-comercial-sala-com-piscina-vila-da-penha-zona-norte-rio-de-janeiro-rj-25m2-id-2628195858/
Escritório para venda possui 30 metros quadrados em Recreio dos Bandeirantes - Rio de Janeiro - RJ,195000,900,0,1,30,1,"Avenida das Américas, Recreio Dos Bandeirantes",/imovel/venda-conjunto-comercial-sala-com-infraestrutura-internet-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-30m2-id-2641170460/
Apartamento à venda em Maracanã com 3 quartos!!! RJ,310000,468,3,3,89,1,"Rua São Francisco Xavier, São Francisco Xavier",/imovel/venda-apartamento-3-quartos-com-elevador-sao-francisco-xavier-zona-norte-rio-de-janeiro-rj-89m2-id-2542387545/
Apartamento para venda tem 180 metros quadrados com 4 quartos em Tijuca - Rio de Janeiro - RJ,850000,1400,4,3,180,2,"Rua Antônio Basílio, Tijuca",/imovel/venda-apartamento-4-quartos-com-salao-de-festas-tijuca-zona-norte-rio-de-janeiro-rj-180m2-id-2641395773/
Terreno-À VENDA-Alto da Boa Vista-Rio de Janeiro-RJ,1700000,,0,0,10700,0,"Estrada da Gávea Pequena, Alto da Boa Vista",/imovel/venda-terreno-lote-condominio-alto-da-boa-vista-zona-norte-rio-de-janeiro-rj-10700m2-id-2517253202/
Apartamento com 77 metros quadrados com 2 quartos em Laranjeiras - Rio de Janeiro - RJ,570000,900,2,1,77,0,"Rua das Laranjeiras, Laranjeiras",/imovel/venda-apartamento-2-quartos-com-churrasqueira-laranjeiras-zona-sul-rio-de-janeiro-rj-77m2-id-2640731787/
Apartamento a venda na Freguesia,195000,450,2,1,48,1,"Rua Ana Cristina Cesar, Freguesia- Jacarepaguá",/imovel/venda-apartamento-2-quartos-com-piscina-freguesia-jacarepagua-zona-oeste-rio-de-janeiro-rj-48m2-id-2640922074/
Apartamento em Rua Elisa de Albuquerque - Todos os Santos - Rio de Janeiro/RJ,219050,320,2,1,47,0,"Rua Elisa de Albuquerque, Todos os Santos",/imovel/venda-apartamento-2-quartos-com-churrasqueira-todos-os-santos-zona-norte-rio-de-janeiro-rj-47m2-id-2626094076/
Apartamento em Rua Conselheiro Agostinho - Todos os Santos - Rio de Janeiro/RJ,269410,873,2,2,75,1,"Rua Conselheiro Agostinho, Todos os Santos",/imovel/venda-apartamento-2-quartos-com-piscina-todos-os-santos-zona-norte-rio-de-janeiro-rj-75m2-id-2632578179/
Apartamento a venda em Rio de Janeiro,110000,250,2,1,48,1,"Avenida Canal do Anil, Gardênia Azul",/imovel/venda-apartamento-2-quartos-gardenia-azul-zona-oeste-rio-de-janeiro-rj-48m2-id-2633517006/
Apartamento em Rua Pio Dutra - Freguesia (Ilha do Governador) - Rio de Janeiro/RJ,274530,690,2,2,72,1,"Rua Pio Dutra, Freguesia",/imovel/venda-apartamento-2-quartos-freguesia-ilha-do-governador-rio-de-janeiro-rj-72m2-id-2622169237/
Apartamento em Rua Dois de Fevereiro - Encantado - Rio de Janeiro/RJ,164730,430,1,1,40,1,"Rua Dois de Fevereiro, Encantado",/imovel/venda-apartamento-1-quarto-com-elevador-encantado-zona-norte-rio-de-janeiro-rj-40m2-id-2639120119/
Apartamento para venda tem 59 metros quadrados com 2 quartos em Taquara - Rio de Janeiro - RJ,390000,538,2,2,59,0,"Estrada Meringuava, Taquara",/imovel/venda-apartamento-2-quartos-taquara-zona-oeste-rio-de-janeiro-rj-59m2-id-2588173908/
Apartamento-À VENDA-Glória-Rio de Janeiro-RJ,870000,1020,2,2,68,2,"Rua do Catete, Glória",/imovel/venda-apartamento-2-quartos-com-cozinha-gloria-zona-sul-rio-de-janeiro-rj-68m2-id-2641207074/
Casa de Vila em Rua Ilhéus - Campo Grande - Rio de Janeiro/RJ,269090,1,2,2,99,0,"Rua Ilhéus, Campo Grande",/imovel/venda-casa-de-condominio-2-quartos-campo-grande-zona-oeste-rio-de-janeiro-rj-99m2-id-2628464818/
"Apartamento Cidade Jardim - Reserva do Parque, Venda, 3 quartos - NBI 528 CJRP",999000,1500,3,2,96,1,"Avenida Vice-Presidente José Alencar, Jacarepaguá",/imovel/venda-apartamento-3-quartos-com-piscina-jacarepagua-zona-oeste-rio-de-janeiro-rj-96m2-id-2626694281/
RIO DE JANEIRO - Apartamento Padrão - SÃO CRISTÓVÃO,235000,350,2,1,74,0,"Rua Almirante Baltazar, São Cristóvão",/imovel/venda-apartamento-2-quartos-sao-cristovao-zona-norte-rio-de-janeiro-rj-74m2-id-2639870264/
Apartamento para venda no Anil Up Barra,441000,550,2,2,100,1,"Estrada do Engenho D'Agua, Anil",/imovel/venda-apartamento-2-quartos-com-piscina-anil-zona-oeste-rio-de-janeiro-rj-100m2-id-2628187186/
P - Apartamento para venda com 2 quartos e vista para o mar,369000,20,2,1,45,0,"Avenida Professor Pereira Reis, Centro",/imovel/venda-apartamento-2-quartos-com-piscina-centro-zona-central-rio-de-janeiro-rj-45m2-id-2626297711/
"Apartamento com 2 dormitórios à venda, 78 m² por R$ 380.000,00 - Méier - Rio de Janeiro/RJ",380000,450,2,2,78,1,"Rua Coração de Maria, Méier",/imovel/venda-apartamento-2-quartos-meier-zona-norte-rio-de-janeiro-rj-78m2-id-2620208518/
Casa de condomínio em Rua Fritz Utzeri - Recreio dos Bandeirantes - Rio de Janeiro/RJ,3199800,750,4,7,370,1,"Rua Fritz Utzeri, Recreio Dos Bandeirantes",/imovel/venda-casa-de-condominio-4-quartos-com-churrasqueira-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-370m2-id-2641266404/
Apartamento em Rua Piauí - Cachambi - Rio de Janeiro/RJ,699780,1000,2,2,150,2,"Rua Piauí, Cachambi",/imovel/venda-apartamento-2-quartos-com-piscina-cachambi-zona-norte-rio-de-janeiro-rj-150m2-id-2629075447/
Apartamento em Avenida Paranapuam - Bancários - Rio de Janeiro/RJ,449380,400,2,1,60,1,"Avenida Paranapuam, Bancários",/imovel/venda-apartamento-2-quartos-bancarios-ilha-do-governador-rio-de-janeiro-rj-60m2-id-2629077353/
Apartamento para venda possui 90m² com 3 quartos sendo 1 suíte com closet.,590000,750,3,2,90,2,"Rua Alcides Lima, Jacarepaguá",/imovel/venda-apartamento-3-quartos-mobiliado-jacarepagua-zona-oeste-rio-de-janeiro-rj-90m2-id-2610508973/
Apartamento em Rua Castorino Francisco Nunes - Cocotá - Rio de Janeiro/RJ,214730,310,2,1,46,1,"Rua Castorino Francisco Nunes, Cocotá",/imovel/venda-apartamento-2-quartos-com-churrasqueira-cocota-ilha-do-governador-rio-de-janeiro-rj-46m2-id-2628948820/
Apartamento para venda possui 45 metros quadrados com 2 quartos,125000,287,2,1,45,0,"Rua Júpiter, Vigário Geral",/imovel/venda-apartamento-2-quartos-vigario-geral-zona-norte-rio-de-janeiro-rj-45m2-id-2603965685/
Sala/Conjunto para venda tem 47 metros quadrados em Centro - Rio de Janeiro - RJ,140000,598,0,1,47,0,"Rua Senador Dantas, Centro",/imovel/venda-conjunto-comercial-sala-centro-zona-central-rio-de-janeiro-rj-47m2-id-2543863894/
BARRA OLÍMPICA | VIA PREMIÈRE | DOUBLE SUÍTES | VARANDAS | 1 VAGA,330971,500,2,2,68,1,"Estrada dos Bandeirantes, Jacarepaguá",/imovel/venda-apartamento-2-quartos-mobiliado-jacarepagua-zona-oeste-rio-de-janeiro-rj-68m2-id-2583240908/
Apartamento em Estrada do Tindiba - Taquara - Rio de Janeiro/RJ,459470,750,3,2,90,1,"Estrada do Tindiba, Taquara",/imovel/venda-apartamento-3-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-90m2-id-2628468862/
Apartamento em Rua Silvia Pozzano - Recreio dos Bandeirantes - Rio de Janeiro/RJ,739240,1600,3,3,93,2,"Rua Silvia Pozzano, Recreio Dos Bandeirantes",/imovel/venda-apartamento-3-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-93m2-id-2617633897/
Skylux,660700,0,1,1,32,1,"Rua Visconde de Inhaúma, Centro",/lancamento/venda-apartamento-1-quarto-centro-zona-central-rio-de-janeiro-rj-61m2-id-2623276333/
Residencial Skylux,,0,1,1,32,0,"Rua Visconde de Inhaúma, Centro",/lancamento/venda-apartamento-1-quarto-centro-zona-central-rio-de-janeiro-rj-61m2-id-2532827008/
Urban Boutique Apartaments,299900,0,1,1,35,1,"Rua Ubaldino do Amaral, Centro",/lancamento/venda-apartamento-2-quartos-centro-zona-central-rio-de-janeiro-rj-69m2-id-2435143875/
Apartamento para venda com 62 metros quadrados com 2 quartos,560000,950,2,2,62,1,"Rua Pereira de Almeida, Praça da Bandeira",/imovel/venda-apartamento-2-quartos-com-piscina-praca-da-bandeira-zona-norte-rio-de-janeiro-rj-62m2-id-2635768281/
