neighborhood,city,description,price,condominio,iptu,area,bedrooms,suite,bathrooms,garage,link
Santíssimo, Rio de Janeiro,Casa / 120 Mil a vista / No estado / SantíssimoCasa sendo vendida no estado.Santíssimo120 Mil a vista.02 quartosBanheiro socialCozinhaÁrea de serviço01 vaga de automóvelEspaço para construir área gourmet200m da estradaLocal tranquilo e já com casas ao redoré só construir.   BIANCA, 120000,0,0,120,2,0,2,2,https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-santissimo-zona-oeste-rio-de-janeiro-rj-120m2-id-2641676905/
Camorim, Rio de Janeiro,"Apartamento com 2 quartos sendo uma suíte, andar alto com vista para a montanha, varanda com cortina de vidro, armários na cozinha e banheiros, iluminação direta e indireta, área de serviço.condomínio com infraestrutura, piscina, salão de festa, academia, lavanderia, vagas pra visitantes e segurança 24hs.", 380000,650,950,64,2,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-mobiliado-camorim-zona-oeste-rio-de-janeiro-rj-64m2-id-2641807881/
Barra da Tijuca, Rio de Janeiro,"Se você está em busca de um imóvel com uma localização privilegiada e uma vista do mar, temos o lugar perfeito para você! Apresentamos o Barrabella Hotel Residência, situado na Barra da Tijuca, Rio de Janeiro.Características do imóvel:  Espaçoso apartamento de Quarto e Sala,  Área total de 55 metros quadrados,  Vista lateral mar, proporcionando um visual inspirador,  Sala de estar confortável para momentos de relaxamento,  Cozinha funcional,  Quarto com ótima iluminação natural,  Banheiro social,  Pertencente a um condomínio exclusivo.O Condomínio Barrabella Hotel Residência oferece uma infraestrutura completa para você desfrutar de momentos únicos e relaxantes. Confira os benefícios que aguarda por você:  Acesso direto à praia da Barra da Tijuca,  Piscina para adultos e crianças,  Academia totalmente equipada,  Restaurante com opções gastronômicas divertidas,  Salão de festas,  Lojas e serviços no próprio condomínioLocalizado em um dos bairros mais desejados do Rio de Janeiro, o Barrabella Hotel Residência está cercado por uma ampla gama de benefícios, como shoppings, supermercados, escolas, restaurantes e muito mais. Além disso, a proximidade com o mar proporciona uma atmosfera única de tranquilidade e bem estar.Não perca a oportunidade de adquirir esse apartamento incrível na Barra da Tijuca. Entre em contato conosco agora mesmo e agende uma visita para conhecer de perto essa maravilha à beira mar. Nossos corretores especializados estão à disposição para fornecer todas as informações adicionais que você precisa.Contato: Site: https://www.claudiomunizconsultor.com.br/Venha viver no lugar dos seus sonhos! Não deixe essa chance escapar. Aguardamos o seu contato!  ", 870000,1500,4800,55,1,0,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-barra-da-tijuca-zona-oeste-rio-de-janeiro-rj-55m2-id-2641926198/
Campo Grande, Rio de Janeiro,"Localizado no melhor e mais completo condomínios da zona oeste.  Design moderno e sofisticado com total infraestrutura em uma das áreas mais nobres de campo grande, com farto comércio, escolas, Shopping , academias e transporte na porta. Composto por varanda gourmet integrada com a cozinha, ampla sala, 2 quartos sendo 1 suíte, banheiro social e 1 vaga. Possui área fitness, espaço gourmet, área de recreação infantil, salão de festas, Salão de jogos, espaço jardinado.Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Além disso segurança 24 horas. Espaço reservado para preparar o seu churrasco.Elevador e transporte particular em toda área do condomínio.Aceita financiamento bancário e FGTS!!", 355000,700,360,60,2,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-campo-grande-zona-oeste-rio-de-janeiro-rj-60m2-id-2641840664/
Recreio dos Bandeirantes, Rio de Janeiro,".O apartamento está localizado no bairro Recreio dos Bandeirantes tem 63 metros quadrados com 2 quartos sendo 1 suite e 2 banheirosPossui academia, playground, salão para festas e eventos.Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes.Churrasqueira para você aproveitar nos momentos de descontração.Elevador que garante o transporte das suas malas e compras.Encontra se na privacidade de um condomínio fechado.", 564000,799,299,63,2,1,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-63m2-id-2641693952/
Botafogo, Rio de Janeiro,"O Blanc 260, é a soma de espaço, iluminação, design e natureza com uma nova arquitetura pensada para você e sua família estarem cercados de um estilo único. Seja bem vindo à soma de desejos, conquistas, de tudo aquilo que você sempre planejou conseguir. Seja bem vindo à soma dos seus melhores momentos para apenas 32 unidades de 4 quartos, sendo 3 suítes de 139,45 m2, com 2 vagas em lazer completo e exclusivo.Na icônica rua Assunção, a exclusividade de apenas 4 unidades por andar, a excelência de apenas 32 famílias escolhidas, elegidas para estarem perto de tudo o que Botafogo tem, representa e vivência em todo o entorno da Blanc 260.Cercado pelo melhor comércio e serviços do bairro, Blanc deixa você e a família perto do Supermercado Zonal Sul, da academia BodyTech, as crianças ao lado do Colégio Santo Inácio, do Hospital Samaritano e do Metrô, ou seja, Blanc é uma grife, cercado pela melhor infraestrutura.Salão de festas, espaço fitness, jogos, lounge, churrasqueira, sauna, bar, piscina, brinquedoteca, bicicletário, pranchário, playground, estacionamento.", 2193500,0,0,139,3,1,3,2,https://www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-botafogo-zona-sul-rio-de-janeiro-rj-139m2-id-2622788223/
Botafogo, Rio de Janeiro,"Blanc 260   Apenas 34 unidades da área de lazer residenciais. 32 unidades tipo de 4 quartos, sendo 3 suítes de 139,45 m², com 2 vagas. 2 coberturas lineares de 4 suítes de 283,21 m², com 3 vagas. Lazer completo. Na Rua Assunção, 260   Botafogo   RJ!Localizado na Rua Assunção, um lugar reservado de Botafogo. Uma rua tranquila e sem muito tráfego. Um lugar central, que passou por uma transformação, foi revitalizada e, hoje, tem restaurantes, supermercados, bares descolados e é perto de hospital, shoppings e escolas.A soma de espaço, iluminação, design, natureza como uma nova arquitetura, pensada para você e sua família estarem cercados de um estilo único. De uma nova atmosfera. Área de convivência e bem estar com parte externa e interna, e paisagismo que ressalta a presença da natureza em cada detalhe.Guarda compras e encomendas, Depósito exclusivo para cada unidade, Bicicletário para bikes manuais e elétricas. Além de espaço infantil, espaço gourmet, piscina, salão de festas, playground e mais..",,0,0,139,4,1,3,2,https://www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-botafogo-zona-sul-rio-de-janeiro-rj-283m2-id-2504895151/
Botafogo, Rio de Janeiro,"Se você busca morar em um local moderno, espaçoso e com sofisticado, esse é um empreendimento que combina com seu perfil definitivamente. Além da arquitetura diferenciada, o prédio oferece diferenciais.Financiamento Bancário.piscina climatizada com borda infinita piscina infantil Fitness Center com equipamento completoespaço gourmetsauna hidromassagem brinquedoteca playground infantilsalão de festas", 2125000,0,0,139,3,0,3,1,https://www.zapimoveis.com.br/lancamento/venda-apartamento-4-quartos-botafogo-zona-sul-rio-de-janeiro-rj-283m2-id-2531924621/
Grajaú, Rio de Janeiro,"Kitnet com 1 quarto à venda, 20 m² por R$ 185.000,00   Grajaú   Rio de Janeiro/RJGrajaú bem no miolo, Avenida Engenheiro Richard esquina com Comendador Martinelli !Kitnet de 20 m² com banheiro e pequena cozinha, frente, vista livre para a rua e montanha... Lugar tranquilo para quem busca sossego e tranquilidade em uma das melhores ruas do bairro.Condomínio barato, porteiro 24 horas com total segurança.Localização ímpar, juntinho da Praça Edmundo Rego, Country Clube do Grajaú, mercado, padaria, feira livre às sextas feiras, bares e restaurantes... Faça nos uma visita, Lopes Enjoy imóveis loja Grajaú, Rua Borda do Mato nº 04. Avaliamos seu imóvel !!! Atualizado em vintedemaiodedoismilevinteetrês.  ", 185000,301,0,20,1,0,1,0,https://www.zapimoveis.com.br/imovel/venda-quitinete-1-quarto-com-elevador-grajau-zona-norte-rio-de-janeiro-rj-20m2-id-2640258767/
Lagoa, Rio de Janeiro,"Apartamento á venda na Lagoa. Sala em dois ambientes, lavabo, varanda com cortina de vidro, original 04 quartos transformado em 03, reverteu para closet, 01 suíte, 01 banheiro social, copa e cozinha planejada, dependência completa, 02 vagas na escritura, 190 m², pequena infraestrutura. Portaria 24 horas.Avaliamos gratuitamente seu imóvel!!! Temos outras ofertas no seu perfil, venha nos fazer uma visita Rua Nascimento Silva no 240 (esquina de Joana Angélica)   Ipanema. 3f9a5", 2850000,2900,5200,190,4,1,4,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-ar-condicionado-lagoa-zona-sul-rio-de-janeiro-rj-190m2-id-2641929409/
Recreio dos Bandeirantes, Rio de Janeiro,"Block Imóveis Vende:Excelente cobertura em Condomínio Vila Del Sol no Pontal (Recreio dos Bandeirantes), imóvel com vista panorâmica para o mar, ""pé na areia"", voltado para o sol da manhã, alto padrão! Cobertura composta por enorme varanda Gourmet com churrasqueira, hidromassagem, Excelente salão, quarto com suítes, complementa com muitos armários, cozinha americana e piso cerâmica. Condomínio com total infraestrutura de lazer com piscina, sauna, academia de musculação, lavanderia, restaurante, bares e portaria 24hs e serviços de quartos. Próximo de comercio, transporte e praia. Venha conferir!!! 47c04", 1200000,2065,2602,83,1,1,2,1,https://www.zapimoveis.com.br/imovel/venda-cobertura-1-quarto-com-academia-recreio-dos-bandeirantes-zona-oeste-rio-de-janeiro-rj-83m2-id-2546221418/
Taquara, Rio de Janeiro,"🏡 Descubra a sua nova casa na Taquara, Rio de Janeiro   RJ! 🌆Apresentamos uma residência moderna, com localização privilegiada e todos os recursos necessários para uma vida confortável. Com 120 m² de área construída em um terreno de 200 m², esta casa oferece o espaço perfeito para você e sua família desfrutarem de momentos inesquecíveis.Características da casa:🏢 Sala ampla em 2 ambientes, proporcionando um espaço acolhedor para receber visitas e desfrutar de momentos em família.🛌 3 quartos espaçosos, incluindo uma suíte, para garantir conforto e privacidade a todos os moradores.🖥️ 1 escritório, que pode ser facilmente convertido em um quarto adicional, se necessário.🚽 Lavabo e 1 banheiro social para atender às necessidades do dia a dia.🍳 Cozinha funcional, ideal para preparar deliciosas refeições em família.🍽️ Espaço gourmet, perfeito para receber amigos e familiares em momentos especiais.🧺 Área de serviço para maior comodidade no cuidado da casa.🌳 Quintal com garagem para 2 carros, com portão automatizado, proporcionando segurança e praticidade.🌿 Jardim com pergolado, criando um ambiente agradável e relaxante para desfrutar da natureza.🏘️ Condomínio fechado com apenas 8 unidades, oferecendo privacidade e segurança para toda a família.🔒 Interfone e portões automatizados, garantindo acesso controlado e tranquilidade.Além disso, a casa possui documentação perfeita, aceitando financiamento bancário e FGTS, facilitando o processo de aquisição.Não perca a oportunidade de conhecer pessoalmente! Agende sua visita agora mesmo e venha descobrir todos os benefícios dessa maravilhosa casa na Taquara. Entre em contato conosco para agendar a sua visita e obter mais informações sobre essa incrível oportunidade.A sua nova casa está esperando por você na Taquara! Venha conhecer e se encantar com esse imóvel perfeito para criar momentos inesquecíveis com sua família.", 750000,100,633,140,3,1,2,2,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-taquara-zona-oeste-rio-de-janeiro-rj-140m2-id-2633084356/
Senador Vasconcelos, Rio de Janeiro,"Apartamento 2 quartos sala cozinha banheiro garagem no Condomínio Fechado Novo Lar com segurança 24 Horas quadra poliesportiva salão de festas churrasqueira.Localização Av. Cesário de Mello 2020 Bairro São JorgeValor R$ 175.000,00 IPTU isento Condomínio R$ 497,00Aceito Carta FGTS estudo propostas a vista.Tratar Elsio Bastos Telefone e WhatsApp Creci 39054", 175000,497,0,57,2,0,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-senador-vasconcelos-zona-oeste-rio-de-janeiro-rj-57m2-id-2641048846/
Vila Isabel, Rio de Janeiro,"O encontro entre a paz e o equilíbrio. Não espere para mudar a sua vida. Você é único, e tudo aquilo de que você mais gosta, sua família, seus amigos, o lugar onde você vive, também são únicos. A sua vida é uma exclusividade sua e de todos os que fazem dela uma maravilhosa experiência. Vila 311, Hype Apartments. Apenas 24 apartamentos. Para poucos, como você.Infraestrutura de lazer exclusivo com salão haute, cuisine, sauna e hidromassagem.• Porcelanato na sala, quartos, circulação e varanda• Previsão completa para split na sala e quartos• Cozinha americana nos apartamentos de 1 quarto• Lazer exclusivo com salão gourmet, sauna e hidromassagem• Hidrômetro individualizado, luz com sensor de presença na circulação comum• Previsão de piscina nos apartamentos GardenPronto em março de 2022.Agende sua visita!2 1 9 9 1 5 7 2 3 8 3   ATENDIMENTO EXCLUSIVO", 525000,500,0,73,2,0,2,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-vila-isabel-zona-norte-rio-de-janeiro-rj-73m2-id-2554959289/
Inhaúma, Rio de Janeiro,"Apartamento à Venda   Inhaúma, 3 Quartos, 78 m2. Sobre o imóvel: Apartamento com 3 quartos à venda em Inhaúma   RJ Excelente tipo casa com terração em condomínio fechado, junto a Joag e a Plusvist, imóvel amplo e arejado, descrito da seguinte forma: sala, três ótimos dormitórios, ampla copa cozinha, banheiro social com box blindex, terração coberto na extensão do imóvel com área serviço, condomínio barato com portaria 24 horas, pracinha, garagem. Documentação ok. Aceitamos financiamento e FGTS. Agende sua visita com um de nossos corretores. Avaliamos gratuitamente seu imóvel.Valores:  Valor de venda: R$ 270000  Condomínio: R$ 50  IPTU: R$ 0Que tal agendar uma visita?Entre em contato pelo formulário. Você receberá uma mensagem por e mail e WhatsApp com os próximos passos.Seu imóvel sem burocraciaO QuintoAndar revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Conheça esse e outros imóveis no site do QuintoAndar.", 270000,50,0,78,3,0,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-inhauma-zona-norte-rio-de-janeiro-rj-78m2-id-2641687437/
Campo Grande, Rio de Janeiro,"Sabe aquele lugar gostoso, onde você escuta o barulho dos pássaros e o balançar das árvores? Arejado, com pouco movimento e que transpira tranquilidade? É isso o que você encontra nesse charmoso apartamento, São 45 m² de puro charme! 2 quartos bem arejados. Possui uma sala aconchegante para receber à vontade amigos e familiares.Esse charmoso Apartamento, tranquilo e arborizado, é composto por mais 2 condomínio no mesmo estilo. Mas, sossego não quer dizer isolamento. Você estará apenas á quatro minutos caminhando do West Shopping, com vasta condução você encontrará supermercados, academia bem equipada e a Praça para lazer, tudo isso bem pertinho do seu sonho!Agende sua visita e veja de perto tudo que esse imóvel tem para te oferecer Horários para visitas flexíveis 7 dias por semana. Só entrar em contato. Vamos?  ", 135000,372,0,45,2,0,1,1,https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-churrasqueira-campo-grande-zona-oeste-rio-de-janeiro-rj-45m2-id-2624451270/
